Año,Pais,Mes ,Temp max media (actual),Temp opt
1930,Uruguay,Julio,14,9
1934,Italia,Mayo-Jun,25,2
1938,Francia,Junio,23,0
1950,Brasil,Julio,22,1
1954,Suiza,Junio,23,0
1958,Suecia,Junio,20,3
1962,Chile,Junio,15,8
1966,Inglaterra,Julio,24,1
1970,Mexico,Junio,24,1
1974,Alemania,Junio,23,0
1978,Argentina,Junio,14,9
1982,España,Junio-Jul,30,7
1986,Mexico,Junio,24,1
1990,Italia,Jun-Jul,25,2
1994,EEUU,Jun-Jul,28,5
1998,Francia,Jun-Jul,23,0
2002,Japon Korea del Sur,Junio,27,4
2006,Alemania,Junio,23,0
2010,Sudafrica,Junio,16,7
2014,Brasil,Jun-Jul,22,1
2018,Rusia,Jun-Jul,23,0
2022,Qatar,Diciembre,22,1