Año,Pais_host,Mes ,Temp_max_media_(actual),Temp_opt,Prob_lluvia
1930,Uruguay,Julio,14,9,6
1934,Italia,Mayo-Jun,25,2,3
1938,Francia,Junio,23,0,7
1950,Brasil,Julio,22,1,4
1954,Suiza,Junio,23,0,7
1958,Suecia,Junio,20,3,2
1962,Chile,Junio,15,8,4
1966,Inglaterra,Julio,24,1,5
1970,Mexico,Junio,24,1,16
1974,Alemania,Junio,23,0,5
1978,Argentina,Junio,14,9,4
1982,España,Jun-Jul,30,7,2
1986,Mexico,Junio,24,1,16
1990,Italia,Jun-Jul,25,2,3
1994,EEUU,Jun-Jul,28,5,13
1998,Francia,Jun-Jul,23,0,7
2002,Japon_KdS,Junio,27,4,13
2006,Alemania,Junio,23,0,5
2010,Sudafrica,Junio,16,7,7
2014,Brasil,Jun-Jul,22,1,4
2018,Rusia,Jun-Jul,23,0,8
2022,Qatar,Diciembre,22,1,1